Nombre,Institucion
Lucía Illanes-Aguilar,Universidad Mayor
Felipe Poblete-Valderrama,Universidad Santo Tomás
Rosa Vilaseca,Universitat de Barcelona
Reinaldo Salcedo-de-la-Fuente,Universidad Mayor
Gustavo Pávez-Adasme,Universidad Adventista de Chile
Angélica Vera Sagredo,Universidad Católica de la Santísima Concepción
Pere Palou Sampol,Universitat de les Illes Balears
Lizbeth Herrera-Carrasco,Universidad Mayor
Ruby Miranda-Osorio,Viña del Mar University
Felipe Poblete-Valderrama,Universidad Católica de la Santísima Concepción
Laura Léniz-Maturana,Viña del Mar University
Patricio Baeza-Aguilar,San Sebastián University
Viviana Rodas-Kürten,Universidad Santo Tomás
Juan Medina,Universidad Católica de la Santísima Concepción
